epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1285.25,1.35377,0.56024,1.15174,0.959,0.9648,0.9694,0.62433,1.21017,0.46331,1.10683,0.0011882,0.0011882,0.0011882
43,1328.56,1.33614,0.55259,1.14178,0.96883,0.96998,0.98214,0.64072,1.18952,0.44412,1.09425,0.0011684,0.0011684,0.0011684
44,1368.1,1.35456,0.56006,1.15112,0.96743,0.97016,0.9812,0.64323,1.18844,0.44098,1.08824,0.0011486,0.0011486,0.0011486
45,1408.8,1.34186,0.55099,1.14801,0.96567,0.96505,0.98267,0.63272,1.20999,0.46051,1.10105,0.0011288,0.0011288,0.0011288
46,1448.23,1.344,0.5515,1.14009,0.96866,0.96629,0.98381,0.63987,1.18609,0.4455,1.08953,0.001109,0.001109,0.001109
47,1487.93,1.33319,0.55295,1.1434,0.97082,0.96105,0.98208,0.64261,1.18273,0.44749,1.08899,0.0010892,0.0010892,0.0010892
48,1531.55,1.33838,0.55071,1.14036,0.9665,0.96212,0.98094,0.63947,1.19535,0.45492,1.09835,0.0010694,0.0010694,0.0010694
49,1571.7,1.34298,0.55113,1.14186,0.96549,0.97249,0.98142,0.64588,1.16464,0.43652,1.08352,0.0010496,0.0010496,0.0010496
50,1611.94,1.33477,0.54892,1.14225,0.97253,0.9673,0.98415,0.64597,1.17568,0.43832,1.0875,0.0010298,0.0010298,0.0010298
51,1652.57,1.32892,0.54652,1.13508,0.96671,0.9732,0.98439,0.64594,1.18233,0.43444,1.08382,0.00101,0.00101,0.00101
52,1692.89,1.32141,0.54015,1.13344,0.97403,0.96462,0.98229,0.64526,1.16279,0.4293,1.08302,0.0009902,0.0009902,0.0009902
53,1733.1,1.32588,0.54575,1.14088,0.96932,0.96543,0.97997,0.64292,1.18169,0.4408,1.09056,0.0009704,0.0009704,0.0009704
54,1773.99,1.31825,0.53676,1.12902,0.97309,0.96909,0.98469,0.65028,1.16418,0.42954,1.08244,0.0009506,0.0009506,0.0009506
55,1814.14,1.3133,0.53717,1.13417,0.96807,0.96695,0.97824,0.64941,1.1524,0.42862,1.07779,0.0009308,0.0009308,0.0009308
56,1854.07,1.31524,0.54052,1.13198,0.97007,0.96766,0.9829,0.65002,1.14675,0.42668,1.07755,0.000911,0.000911,0.000911
57,1893.68,1.30795,0.53509,1.13221,0.97294,0.96993,0.98519,0.65782,1.15437,0.42217,1.07671,0.0008912,0.0008912,0.0008912
58,1934.68,1.30855,0.5348,1.13021,0.96713,0.96963,0.98103,0.65334,1.14477,0.42828,1.07906,0.0008714,0.0008714,0.0008714
59,1975.07,1.29512,0.52399,1.12155,0.96536,0.97177,0.98069,0.64844,1.14639,0.42772,1.08059,0.0008516,0.0008516,0.0008516
60,2015.83,1.29958,0.52816,1.12096,0.97091,0.97016,0.98211,0.6572,1.14548,0.42266,1.07571,0.0008318,0.0008318,0.0008318
61,2056.69,1.29105,0.52371,1.11371,0.96757,0.97011,0.98017,0.64967,1.14986,0.43042,1.07579,0.000812,0.000812,0.000812
62,2096.48,1.29454,0.52515,1.12888,0.96918,0.96802,0.98314,0.64791,1.14889,0.42749,1.08006,0.0007922,0.0007922,0.0007922
63,2137.03,1.30007,0.52616,1.12483,0.96802,0.96873,0.97962,0.64998,1.15649,0.42388,1.07944,0.0007724,0.0007724,0.0007724
64,2176.8,1.27947,0.5187,1.12148,0.97099,0.96981,0.98421,0.64927,1.15718,0.42415,1.08238,0.0007526,0.0007526,0.0007526
65,2215.57,1.27945,0.5217,1.11016,0.96998,0.96395,0.98283,0.6514,1.15027,0.42655,1.07761,0.0007328,0.0007328,0.0007328
66,2255.13,1.28315,0.52266,1.11819,0.97222,0.96873,0.98364,0.66304,1.12886,0.41507,1.06803,0.000713,0.000713,0.000713
